Censys_missed_chi2,Censys_missed_lsvc,Censys_missed_rf,Censys_delay_chi2,Censys_delay_lsvc,Censys_delay_rf,Entrust_missed_chi2,Entrust_missed_lsvc,Entrust_missed_rf,Entrust_delay_chi2,Entrust_delay_lsvc,Entrust_delay_rf,Facebook_missed_chi2,Facebook_missed_lsvc,Facebook_missed_rf,Facebook_delay_chi2,Facebook_delay_lsvc,Facebook_delay_rf,Google_missed_chi2,Google_missed_lsvc,Google_missed_rf,Google_delay_chi2,Google_delay_lsvc,Google_delay_rf,SSLMate_missed_chi2,SSLMate_missed_lsvc,SSLMate_missed_rf,SSLMate_delay_chi2,SSLMate_delay_lsvc,SSLMate_delay_rf
Censys101: [Suffix: orjp (8.82e-01)],Censys101: [# of matched targets in cert (0.00e+00)],Censys101: [Suffix: edupk (2.03e+02)],Censys101: [Suffix: commx (2.91e+01)],Censys101: [Suffix: uz (0.00e+00)],Censys101: [Suffix: info (2.04e+02)],Entrust101: [Suffix: comar (2.22e+01)],Entrust101: [Suffix: xn--p1ai (0.00e+00)],Entrust101: [Suffix: gr (2.02e+02)],Entrust101: [Suffix: gg (5.70e+01)],Entrust101: [Suffix: wvus (0.00e+00)],Entrust101: [Suffix: orjp (2.04e+02)],Facebook101: [Suffix: info (1.18e+00)],Facebook101: [Suffix: wvus (0.00e+00)],Facebook101: [Suffix: conz (2.02e+02)],Facebook101: [Suffix: se (1.44e+01)],Facebook101: [Suffix: xn--p1ai (0.00e+00)],Facebook101: [Suffix: dk (2.02e+02)],Google101: [Suffix: comco (6.40e+00)],Google101: [# of domains in cert (0.00e+00)],Google101: [Suffix: comsg (2.04e+02)],Google101: [Suffix: money (2.29e+01)],Google101: [Suffix: wvus (0.00e+00)],Google101: [Suffix: cz (2.04e+02)],SSLMate101: [Suffix: no (9.39e+01)],SSLMate101: [max string length of domains (0.00e+00)],SSLMate101: [Suffix: gg (2.04e+02)],SSLMate101: [Suffix: compk (1.33e+02)],SSLMate101: [Suffix: wvus (0.00e+00)],SSLMate101: [Suffix: ro (2.04e+02)]
Censys102: [Suffix: cl (8.74e-01)],Censys102: [mean string length of targets (0.00e+00)],Censys102: [Suffix: edupe (2.02e+02)],Censys102: [Suffix: tv (2.80e+01)],Censys102: [Suffix: video (0.00e+00)],Censys102: [Suffix: compk (2.03e+02)],Entrust102: [Suffix: gr (2.19e+01)],Entrust102: [Suffix: xxx (0.00e+00)],Entrust102: [Suffix: orjp (2.01e+02)],Entrust102: [Suffix: co (5.44e+01)],Entrust102: [Suffix: xn--p1ai (0.00e+00)],Entrust102: [Suffix: govsa (2.03e+02)],Facebook102: [Suffix: ie (1.18e+00)],Facebook102: [Suffix: xn--p1ai (0.00e+00)],Facebook102: [Suffix: comcn (2.01e+02)],Facebook102: [Suffix: govtw (1.35e+01)],Facebook102: [Suffix: xxx (0.00e+00)],Facebook102: [Suffix: comtr (2.01e+02)],Google102: [Suffix: no (5.86e+00)],Google102: [mean string length of domains (0.00e+00)],Google102: [Suffix: comsa (2.03e+02)],Google102: [Suffix: govtw (2.19e+01)],Google102: [Suffix: xn--p1ai (0.00e+00)],Google102: [Suffix: commy (2.03e+02)],SSLMate102: [Suffix: conz (9.36e+01)],SSLMate102: [min string length of domains (0.00e+00)],SSLMate102: [Suffix: gentr (2.03e+02)],SSLMate102: [Suffix: by (1.29e+02)],SSLMate102: [Suffix: xn--p1ai (0.00e+00)],SSLMate102: [Suffix: sk (2.03e+02)]
Censys103: [Suffix: conz (7.74e-01)],Censys103: [max string length of targets (0.00e+00)],Censys103: [Suffix: edumy (2.01e+02)],Censys103: [Suffix: govuk (2.76e+01)],Censys103: [Suffix: vn (0.00e+00)],Censys103: [Suffix: eduau (2.02e+02)],Entrust103: [Suffix: edutw (2.04e+01)],Entrust103: [Suffix: uolcombr (0.00e+00)],Entrust103: [Suffix: govsa (2.00e+02)],Entrust103: [Suffix: acir (5.30e+01)],Entrust103: [Suffix: xxx (0.00e+00)],Entrust103: [Suffix: comsg (2.02e+02)],Facebook103: [Suffix: comsa (1.15e+00)],Facebook103: [Suffix: xxx (0.00e+00)],Facebook103: [Suffix: acir (2.00e+02)],Facebook103: [Suffix: recipes (1.32e+01)],Facebook103: [Suffix: xyz (0.00e+00)],Facebook103: [Suffix: by (2.00e+02)],Google103: [Suffix: conz (5.83e+00)],Google103: [Suffix: video (0.00e+00)],Google103: [Suffix: compl (2.02e+02)],Google103: [Suffix: coth (2.10e+01)],Google103: [Suffix: xxx (0.00e+00)],Google103: [Suffix: comtw (2.02e+02)],SSLMate103: [Suffix: comvn (9.32e+01)],SSLMate103: [# of matched targets in cert (0.00e+00)],SSLMate103: [Suffix: gcca (2.02e+02)],SSLMate103: [Suffix: kz (1.27e+02)],SSLMate103: [Suffix: xxx (0.00e+00)],SSLMate103: [Suffix: co (2.02e+02)]
Censys104: [Suffix: govuk (7.66e-01)],Censys104: [min string length of targets (0.00e+00)],Censys104: [Suffix: educo (2.00e+02)],Censys104: [Suffix: gg (2.72e+01)],Censys104: [Suffix: website (0.00e+00)],Censys104: [Suffix: hu (2.01e+02)],Entrust104: [Suffix: acir (2.03e+01)],Entrust104: [Suffix: xyz (0.00e+00)],Entrust104: [Suffix: comcn (1.99e+02)],Entrust104: [MinReferenceSetSize (5.25e+01)],Entrust104: [Suffix: xyz (0.00e+00)],Entrust104: [Suffix: si (2.01e+02)],Facebook104: [Suffix: conz (1.13e+00)],Facebook104: [Suffix: xyz (0.00e+00)],Facebook104: [Suffix: se (1.99e+02)],Facebook104: [Suffix: acza (1.26e+01)],Facebook104: [# of domains in cert (0.00e+00)],Facebook104: [Suffix: comar (1.99e+02)],Google104: [Suffix: gr (5.81e+00)],Google104: [max string length of domains (0.00e+00)],Google104: [Suffix: compk (2.01e+02)],Google104: [Suffix: comtr (2.09e+01)],Google104: [Suffix: xyz (0.00e+00)],Google104: [Suffix: tw (2.01e+02)],SSLMate104: [Suffix: gr (9.28e+01)],SSLMate104: [mean string length of targets (0.00e+00)],SSLMate104: [Suffix: games (2.01e+02)],SSLMate104: [Suffix: coil (1.25e+02)],SSLMate104: [Suffix: xyz (0.00e+00)],SSLMate104: [Suffix: educn (2.01e+02)]
Censys105: [Suffix: tw (7.38e-01)],Censys105: [# of SHA256 (0.00e+00)],Censys105: [Suffix: educn (1.99e+02)],Censys105: [Suffix: goid (2.57e+01)],Censys105: [Suffix: wiki (0.00e+00)],Censys105: [Suffix: nl (2.00e+02)],Entrust105: [Suffix: no (2.03e+01)],Entrust105: [mean string length of domains (0.00e+00)],Entrust105: [Suffix: kz (1.98e+02)],Entrust105: [Suffix: gr (5.11e+01)],Entrust105: [# of domains in cert (0.00e+00)],Entrust105: [Suffix: ng (2.00e+02)],Facebook105: [Suffix: cc (1.13e+00)],Facebook105: [# of domains in cert (0.00e+00)],Facebook105: [Suffix: mil (1.98e+02)],Facebook105: [Suffix: ca (1.24e+01)],Facebook105: [mean string length of domains (0.00e+00)],Facebook105: [Suffix: lt (1.98e+02)],Google105: [Suffix: comvn (5.76e+00)],Google105: [# of matched targets in cert (0.00e+00)],Google105: [Suffix: comph (2.00e+02)],Google105: [Suffix: pt (2.03e+01)],Google105: [# of domains in cert (0.00e+00)],Google105: [Suffix: by (2.00e+02)],SSLMate105: [Start hour (9.19e+01)],SSLMate105: [max string length of targets (0.00e+00)],SSLMate105: [Suffix: fun (2.00e+02)],SSLMate105: [Suffix: pt (1.23e+02)],SSLMate105: [# of domains in cert (0.00e+00)],SSLMate105: [Suffix: coil (2.00e+02)]
Censys106: [Suffix: acza (7.34e-01)],"Censys106: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Censys106: [Suffix: dk (1.98e+02)],Censys106: [Suffix: govtw (2.55e+01)],Censys106: [Suffix: win (0.00e+00)],Censys106: [Suffix: az (1.99e+02)],Entrust106: [Suffix: govtw (1.86e+01)],Entrust106: [max string length of domains (0.00e+00)],Entrust106: [Suffix: ir (1.97e+02)],Entrust106: [Suffix: govsa (4.77e+01)],Entrust106: [mean string length of domains (0.00e+00)],Entrust106: [Suffix: xxx (1.99e+02)],Facebook106: [Suffix: gojp (1.10e+00)],Facebook106: [mean string length of domains (0.00e+00)],Facebook106: [Suffix: design (1.96e+02)],Facebook106: [mean string length of targets (1.23e+01)],Facebook106: [max string length of domains (0.00e+00)],Facebook106: [Suffix: commy (1.96e+02)],Google106: [mean string length of domains (5.46e+00)],Google106: [mean string length of targets (0.00e+00)],Google106: [Suffix: compe (1.99e+02)],Google106: [Suffix: kz (1.98e+01)],Google106: [mean string length of domains (0.00e+00)],Google106: [Suffix: vn (1.99e+02)],SSLMate106: [Suffix: orjp (8.57e+01)],SSLMate106: [min string length of targets (0.00e+00)],SSLMate106: [Suffix: fm (1.99e+02)],SSLMate106: [Start hour (1.22e+02)],SSLMate106: [mean string length of domains (0.00e+00)],SSLMate106: [Suffix: ackr (1.99e+02)]
Censys107: [Suffix: gr (7.10e-01)],"Censys107: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Censys107: [Suffix: dnua (1.97e+02)],Censys107: [Suffix: su (2.18e+01)],Censys107: [Suffix: top (0.00e+00)],Censys107: [Suffix: gouvfr (1.98e+02)],Entrust107: [Suffix: edupe (1.86e+01)],Entrust107: [min string length of domains (0.00e+00)],Entrust107: [Suffix: acid (1.96e+02)],Entrust107: [Suffix: govuk (4.55e+01)],Entrust107: [max string length of domains (0.00e+00)],Entrust107: [Suffix: hu (1.98e+02)],Facebook107: [Suffix: az (1.08e+00)],Facebook107: [max string length of domains (0.00e+00)],Facebook107: [Suffix: vn (1.95e+02)],Facebook107: [Suffix: commt (1.19e+01)],Facebook107: [min string length of domains (0.00e+00)],Facebook107: [Suffix: ua (1.95e+02)],Google107: [Suffix: orjp (5.34e+00)],Google107: [max string length of targets (0.00e+00)],Google107: [Suffix: comng (1.98e+02)],Google107: [Suffix: tw (1.92e+01)],Google107: [max string length of domains (0.00e+00)],Google107: [Suffix: ro (1.98e+02)],SSLMate107: [Suffix: ir (7.63e+01)],SSLMate107: [# of SHA256 (0.00e+00)],SSLMate107: [Suffix: farm (1.98e+02)],SSLMate107: [Suffix: goid (1.21e+02)],SSLMate107: [max string length of domains (0.00e+00)],SSLMate107: [Suffix: cz (1.98e+02)]
Censys108: [Suffix: comco (6.74e-01)],"Censys108: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Censys108: [Suffix: ao (1.96e+02)],Censys108: [Suffix: at (2.16e+01)],Censys108: [Suffix: wordpresscom (0.00e+00)],Censys108: [Suffix: commy (1.97e+02)],Entrust108: [Suffix: cz (1.80e+01)],Entrust108: [# of matched targets in cert (0.00e+00)],Entrust108: [Suffix: comtw (1.95e+02)],Entrust108: [Suffix: commt (4.41e+01)],Entrust108: [min string length of domains (0.00e+00)],Entrust108: [Suffix: tw (1.97e+02)],Facebook108: [Suffix: gcca (1.07e+00)],Facebook108: [min string length of domains (0.00e+00)],Facebook108: [Suffix: dk (1.94e+02)],Facebook108: [Suffix: acuk (1.17e+01)],Facebook108: [# of matched targets in cert (0.00e+00)],Facebook108: [Suffix: orjp (1.94e+02)],Google108: [Suffix: ir (4.78e+00)],Google108: [min string length of targets (0.00e+00)],Google108: [Suffix: uz (1.97e+02)],Google108: [Suffix: coin (1.91e+01)],Google108: [min string length of domains (0.00e+00)],Google108: [Suffix: compe (1.97e+02)],SSLMate108: [Suffix: govuk (7.48e+01)],"SSLMate108: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",SSLMate108: [Suffix: expert (1.97e+02)],SSLMate108: [Suffix: gr (1.16e+02)],SSLMate108: [min string length of domains (0.00e+00)],SSLMate108: [Suffix: bet (1.97e+02)]
Censys109: [Suffix: pt (6.62e-01)],"Censys109: [Issuer: ""cPanel (0.00e+00)]",Censys109: [Suffix: eduau (1.95e+02)],Censys109: [Suffix: org (2.15e+01)],Censys109: [Suffix: ws (0.00e+00)],Censys109: [Suffix: uolcombr (1.96e+02)],Entrust109: [Suffix: tw (1.72e+01)],Entrust109: [mean string length of targets (0.00e+00)],Entrust109: [Suffix: info (1.94e+02)],Entrust109: [Suffix: goid (3.84e+01)],Entrust109: [# of matched targets in cert (0.00e+00)],Entrust109: [Suffix: biz (1.96e+02)],Facebook109: [Suffix: me (1.06e+00)],Facebook109: [# of matched targets in cert (0.00e+00)],Facebook109: [Suffix: gouvfr (1.93e+02)],Facebook109: [# of matched targets in cert (1.09e+01)],Facebook109: [mean string length of targets (0.00e+00)],Facebook109: [Suffix: no (1.93e+02)],Google109: [Suffix: govuk (4.67e+00)],Google109: [# of SHA256 (0.00e+00)],Google109: [Suffix: commx (1.96e+02)],Google109: [Suffix: in (1.87e+01)],Google109: [# of matched targets in cert (0.00e+00)],Google109: [Suffix: biz (1.96e+02)],SSLMate109: [Suffix: tw (7.45e+01)],"SSLMate109: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",SSLMate109: [Suffix: comvn (1.96e+02)],SSLMate109: [Suffix: educn (1.16e+02)],SSLMate109: [# of matched targets in cert (0.00e+00)],SSLMate109: [Suffix: ir (1.96e+02)]
Censys110: [Suffix: io (6.30e-01)],Censys110: [Issuer: AC Administración Pública (0.00e+00)],Censys110: [Suffix: app (1.94e+02)],Censys110: [Suffix: govbr (2.09e+01)],Censys110: [Suffix: wvus (0.00e+00)],Censys110: [Suffix: cc (1.95e+02)],Entrust110: [Suffix: govpt (1.58e+01)],Entrust110: [max string length of targets (0.00e+00)],Entrust110: [Suffix: acin (1.93e+02)],Entrust110: [Suffix: hr (3.68e+01)],Entrust110: [mean string length of targets (0.00e+00)],Entrust110: [Suffix: commy (1.95e+02)],Facebook110: [Suffix: pe (9.70e-01)],Facebook110: [mean string length of targets (0.00e+00)],Facebook110: [Suffix: onca (1.92e+02)],Facebook110: [Suffix: govuk (1.05e+01)],Facebook110: [max string length of targets (0.00e+00)],Facebook110: [Suffix: ir (1.92e+02)],Google110: [Suffix: tw (4.64e+00)],"Google110: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Google110: [Suffix: community (1.95e+02)],Google110: [Suffix: blogspotcom (1.76e+01)],Google110: [mean string length of targets (0.00e+00)],Google110: [Suffix: sk (1.95e+02)],SSLMate110: [Suffix: coth (7.11e+01)],"SSLMate110: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",SSLMate110: [Suffix: comcn (1.95e+02)],SSLMate110: [Suffix: bet (1.10e+02)],SSLMate110: [mean string length of targets (0.00e+00)],SSLMate110: [Suffix: pt (1.95e+02)]
Censys111: [Suffix: comvn (5.51e-01)],Censys111: [Issuer: AC CAMERFIRMA FOR WEBSITES - 2016 (0.00e+00)],Censys111: [Suffix: edeka (1.93e+02)],Censys111: [Suffix: orjp (1.97e+01)],Censys111: [Suffix: xn--p1ai (0.00e+00)],Censys111: [Suffix: acir (1.94e+02)],Entrust111: [Suffix: in (1.54e+01)],Entrust111: [min string length of targets (0.00e+00)],Entrust111: [Suffix: commy (1.92e+02)],Entrust111: [Suffix: cn (3.61e+01)],Entrust111: [max string length of targets (0.00e+00)],Entrust111: [Suffix: coid (1.94e+02)],Facebook111: [Suffix: combo (9.15e-01)],Facebook111: [max string length of targets (0.00e+00)],Facebook111: [Suffix: tw (1.91e+02)],Facebook111: [AvgLoggedSub2Expire (1.05e+01)],Facebook111: [min string length of targets (0.00e+00)],Facebook111: [Suffix: tw (1.91e+02)],Google111: [Suffix: coth (4.43e+00)],"Google111: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Google111: [Suffix: discount (1.94e+02)],Google111: [Suffix: comar (1.73e+01)],Google111: [max string length of targets (0.00e+00)],Google111: [Suffix: comhk (1.94e+02)],SSLMate111: [Suffix: acza (7.07e+01)],"SSLMate111: [Issuer: ""cPanel (0.00e+00)]",SSLMate111: [Suffix: comua (1.94e+02)],SSLMate111: [Suffix: compe (1.09e+02)],SSLMate111: [max string length of targets (0.00e+00)],SSLMate111: [Suffix: by (1.94e+02)]
Censys112: [Suffix: uolcombr (5.31e-01)],Censys112: [Issuer: AC Certisign Multipla G6 (0.00e+00)],Censys112: [Suffix: dz (1.92e+02)],Censys112: [Suffix: kz (1.93e+01)],Censys112: [Suffix: xxx (0.00e+00)],Censys112: [Suffix: biz (1.93e+02)],Entrust112: [Suffix: mx (1.37e+01)],Entrust112: [# of SHA256 (0.00e+00)],Entrust112: [Suffix: coth (1.91e+02)],Entrust112: [Suffix: at (3.50e+01)],Entrust112: [min string length of targets (0.00e+00)],Entrust112: [Suffix: no (1.93e+02)],Facebook112: [Suffix: orjp (9.04e-01)],Facebook112: [min string length of targets (0.00e+00)],Facebook112: [Suffix: comtw (1.90e+02)],Facebook112: [Suffix: ackr (1.04e+01)],Facebook112: [# of SHA256 (0.00e+00)],Facebook112: [Suffix: coin (1.90e+02)],Google112: [Suffix: acza (4.41e+00)],"Google112: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Google112: [Suffix: dk (1.93e+02)],Google112: [Suffix: biz (1.70e+01)],Google112: [min string length of targets (0.00e+00)],Google112: [Suffix: educn (1.93e+02)],SSLMate112: [Suffix: cove (6.96e+01)],SSLMate112: [Issuer: AC Administración Pública (0.00e+00)],SSLMate112: [Suffix: basketball (1.93e+02)],SSLMate112: [Suffix: ir (1.02e+02)],SSLMate112: [min string length of targets (0.00e+00)],SSLMate112: [Suffix: coao (1.93e+02)]
Censys113: [Suffix: gg (5.23e-01)],Censys113: [Issuer: AC INFRASTRUCTURE 2 (0.00e+00)],Censys113: [Suffix: ai (1.91e+02)],Censys113: [Suffix: se (1.72e+01)],Censys113: [Suffix: xyz (0.00e+00)],Censys113: [Suffix: orjp (1.92e+02)],Entrust113: [Suffix: gouvfr (1.37e+01)],"Entrust113: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Entrust113: [Suffix: cokr (1.90e+02)],Entrust113: [Suffix: mil (3.47e+01)],Entrust113: [# of SHA256 (0.00e+00)],Entrust113: [Suffix: govuk (1.92e+02)],Facebook113: [Suffix: dz (8.92e-01)],Facebook113: [# of SHA256 (0.00e+00)],Facebook113: [Suffix: ao (1.89e+02)],Facebook113: [Suffix: in (1.03e+01)],"Facebook113: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Facebook113: [Suffix: combo (1.89e+02)],Google113: [Suffix: cove (4.34e+00)],"Google113: [Issuer: ""cPanel (0.00e+00)]",Google113: [Suffix: dnua (1.92e+02)],Google113: [Suffix: me (1.70e+01)],Google113: [# of SHA256 (0.00e+00)],Google113: [Suffix: ir (1.92e+02)],SSLMate113: [Suffix: io (6.55e+01)],SSLMate113: [Issuer: AC CAMERFIRMA FOR WEBSITES - 2016 (0.00e+00)],SSLMate113: [Suffix: cf (1.92e+02)],SSLMate113: [Suffix: vn (1.01e+02)],SSLMate113: [# of SHA256 (0.00e+00)],SSLMate113: [Suffix: comtw (1.92e+02)]
Censys114: [Suffix: gouvfr (5.15e-01)],Censys114: [Issuer: ACCVCA-120 (0.00e+00)],Censys114: [Suffix: club (1.90e+02)],Censys114: [Suffix: gouvfr (1.67e+01)],Censys114: [# of domains in cert (0.00e+00)],Censys114: [Suffix: by (1.91e+02)],Entrust114: [Suffix: vn (1.35e+01)],"Entrust114: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Entrust114: [Suffix: id (1.89e+02)],Entrust114: [Suffix: govcn (3.41e+01)],"Entrust114: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Entrust114: [Suffix: comhk (1.91e+02)],Facebook114: [Suffix: wvus (8.92e-01)],"Facebook114: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Facebook114: [Suffix: co (1.88e+02)],Facebook114: [Suffix: me (9.79e+00)],"Facebook114: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Facebook114: [Suffix: nejp (1.88e+02)],Google114: [Suffix: io (4.13e+00)],Google114: [Issuer: AC Administración Pública (0.00e+00)],Google114: [Suffix: eg (1.91e+02)],Google114: [Suffix: edumy (1.69e+01)],"Google114: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",Google114: [Suffix: coth (1.91e+02)],SSLMate114: [AvgFacebookPages (6.41e+01)],SSLMate114: [Issuer: AC Certisign Multipla G6 (0.00e+00)],SSLMate114: [Suffix: center (1.91e+02)],SSLMate114: [Suffix: lt (9.96e+01)],"SSLMate114: [Issuer: ""MarketWare - Soluções para Mercados Digitais (0.00e+00)]",SSLMate114: [Suffix: lt (1.91e+02)]
Censys115: [Suffix: us (5.11e-01)],Censys115: [Issuer: Actalis Authentication CA G3 (0.00e+00)],Censys115: [Suffix: expert (1.89e+02)],Censys115: [Suffix: eu (1.66e+01)],Censys115: [mean string length of domains (0.00e+00)],Censys115: [Suffix: coth (1.90e+02)],Entrust115: [Suffix: tmallcom (1.31e+01)],"Entrust115: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Entrust115: [Suffix: xxx (1.88e+02)],Entrust115: [Suffix: edupe (3.38e+01)],"Entrust115: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Entrust115: [Suffix: id (1.90e+02)],Facebook115: [Suffix: acth (8.92e-01)],"Facebook115: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Facebook115: [Suffix: commy (1.87e+02)],Facebook115: [Suffix: govin (9.70e+00)],"Facebook115: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Facebook115: [Suffix: gojp (1.87e+02)],Google115: [mean string length of targets (4.00e+00)],Google115: [Issuer: AC CAMERFIRMA FOR WEBSITES - 2016 (0.00e+00)],Google115: [Suffix: gentr (1.90e+02)],Google115: [Suffix: coza (1.67e+01)],"Google115: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",Google115: [Suffix: no (1.90e+02)],SSLMate115: [Suffix: compe (6.21e+01)],SSLMate115: [Issuer: AC INFRASTRUCTURE 2 (0.00e+00)],SSLMate115: [Suffix: cc (1.90e+02)],SSLMate115: [Suffix: sk (9.94e+01)],"SSLMate115: [Issuer: ""Trustwave Extended Validation SHA256 Pre-Certificate CA (0.00e+00)]",SSLMate115: [Suffix: commy (1.90e+02)]
Censys116: [Suffix: cove (5.07e-01)],Censys116: [Issuer: Actalis Organization Validated Server CA G1 (0.00e+00)],Censys116: [Suffix: gobar (1.88e+02)],Censys116: [Suffix: acir (1.43e+01)],Censys116: [max string length of domains (0.00e+00)],Censys116: [Suffix: gojp (1.89e+02)],Entrust116: [Suffix: cc (1.30e+01)],"Entrust116: [Issuer: ""cPanel (0.00e+00)]",Entrust116: [Suffix: cove (1.87e+02)],Entrust116: [Suffix: govpt (3.27e+01)],"Entrust116: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Entrust116: [Suffix: comco (1.89e+02)],Facebook116: [Suffix: coao (8.81e-01)],Facebook116: [Suffix: tw (0.00e+00)],Facebook116: [Suffix: comeg (1.86e+02)],Facebook116: [Suffix: ie (9.66e+00)],Facebook116: [Suffix: ua (0.00e+00)],Facebook116: [Suffix: govtw (1.86e+02)],Google116: [Suffix: compe (3.87e+00)],Google116: [Issuer: AC Certisign Multipla G6 (0.00e+00)],Google116: [Suffix: gcca (1.89e+02)],Google116: [Suffix: acth (1.61e+01)],"Google116: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",Google116: [Suffix: bet (1.89e+02)],SSLMate116: [Suffix: uolcombr (5.88e+01)],SSLMate116: [Issuer: ACCVCA-120 (0.00e+00)],SSLMate116: [Suffix: cat (1.89e+02)],SSLMate116: [Suffix: conz (9.40e+01)],"SSLMate116: [Issuer: ""Trustwave Organization Validation SHA256 CA (0.00e+00)]",SSLMate116: [Suffix: coth (1.89e+02)]
Censys117: [Suffix: vn (4.99e-01)],Censys117: [Suffix: website (0.00e+00)],Censys117: [Suffix: acin (1.87e+02)],Censys117: [Suffix: govpt (1.39e+01)],Censys117: [min string length of domains (0.00e+00)],Censys117: [Suffix: coil (1.88e+02)],Entrust117: [Suffix: govit (1.28e+01)],Entrust117: [Issuer: AC Administración Pública (0.00e+00)],Entrust117: [Suffix: comeg (1.86e+02)],Entrust117: [Suffix: orjp (3.26e+01)],"Entrust117: [Issuer: ""cPanel (0.00e+00)]",Entrust117: [Suffix: lt (1.88e+02)],Facebook117: [Suffix: eduau (8.30e-01)],Facebook117: [Suffix: tv (0.00e+00)],Facebook117: [Suffix: lt (1.85e+02)],Facebook117: [Suffix: edusg (8.52e+00)],Facebook117: [Suffix: tw (0.00e+00)],Facebook117: [Suffix: io (1.85e+02)],Google117: [MinFacebookPages (3.71e+00)],Google117: [Issuer: AC INFRASTRUCTURE 2 (0.00e+00)],Google117: [Suffix: games (1.88e+02)],Google117: [Suffix: tv (1.57e+01)],"Google117: [Issuer: ""cPanel (0.00e+00)]",Google117: [Suffix: co (1.88e+02)],SSLMate117: [Suffix: commt (5.61e+01)],SSLMate117: [Issuer: Actalis Authentication CA G3 (0.00e+00)],SSLMate117: [Suffix: cash (1.88e+02)],SSLMate117: [Suffix: no (9.39e+01)],"SSLMate117: [Issuer: ""cPanel (0.00e+00)]",SSLMate117: [Suffix: su (1.88e+02)]
Censys118: [Suffix: mil (4.88e-01)],Censys118: [Suffix: rs (0.00e+00)],Censys118: [Suffix: gojp (1.86e+02)],Censys118: [Suffix: educn (1.34e+01)],Censys118: [# of matched targets in cert (0.00e+00)],Censys118: [Suffix: comcn (1.87e+02)],Entrust118: [Suffix: comsg (1.28e+01)],Entrust118: [# of domains in cert (0.00e+00)],Entrust118: [Suffix: comhk (1.85e+02)],Entrust118: [Suffix: combr (3.07e+01)],Entrust118: [Issuer: AC Administración Pública (0.00e+00)],Entrust118: [Suffix: hr (1.87e+02)],Facebook118: [Suffix: in (7.93e-01)],Facebook118: [Suffix: tube (0.00e+00)],Facebook118: [Suffix: live (1.84e+02)],Facebook118: [Suffix: gg (8.52e+00)],Facebook118: [Suffix: tv (0.00e+00)],Facebook118: [Suffix: acth (1.84e+02)],Google118: [Suffix: uolcombr (3.66e+00)],Google118: [min string length of domains (0.00e+00)],Google118: [Suffix: fun (1.87e+02)],Google118: [Suffix: acza (1.51e+01)],Google118: [Issuer: AC Administración Pública (0.00e+00)],Google118: [Suffix: ackr (1.87e+02)],SSLMate118: [MinStart2LoggedSub (5.49e+01)],SSLMate118: [Suffix: vn (0.00e+00)],SSLMate118: [Suffix: br (1.87e+02)],SSLMate118: [Suffix: tw (9.07e+01)],SSLMate118: [Issuer: AC Administración Pública (0.00e+00)],SSLMate118: [Suffix: govbr (1.87e+02)]
